,p,comp,diameter,avg_short_path,density,avg_clustering
9118,0.11,1,4,2.1964472309299894,0.11180773249738767,0.11699792100509797
9119,0.12,1,3,2.06269592476489,0.12931034482758622,0.11315140222225782
9120,0.13,1,3,2.085684430512017,0.12774294670846395,0.12461288564845413
9121,0.14,1,4,2.038662486938349,0.13740856844305122,0.1433513048152085
9122,0.15000000000000002,1,3,1.9582027168234064,0.15203761755485892,0.14944497982159807
9123,0.16,1,3,1.9299895506792057,0.16091954022988506,0.1601599076409095
9124,0.17,1,3,1.892110762800418,0.17371995820271682,0.1771160728530189
9125,0.18000000000000002,1,3,1.8552769070010449,0.1862591431556949,0.1844040444506292
9126,0.19,1,3,1.8315047021943573,0.19435736677115986,0.18922868969921966
9127,0.2,1,3,1.820271682340648,0.20088819226750262,0.1961527095246761
9128,0.21000000000000002,1,3,1.803030303030303,0.211337513061651,0.2119747313284617
9129,0.22,1,3,1.7870950888192267,0.22126436781609196,0.2216479178074782
9130,0.23,1,3,1.7727272727272727,0.23484848484848486,0.23903263046197687
9131,0.24000000000000002,1,3,1.7672413793103448,0.23667711598746083,0.23375103551027845
9132,0.25,1,3,1.752612330198537,0.24895506792058517,0.23977265485877888
9133,0.26,1,3,1.7405956112852665,0.2601880877742947,0.2544084563878068
9134,0.27,1,3,1.7243991640543366,0.27612330198537094,0.2730948648070577
9135,0.28,1,3,1.7191745036572623,0.28160919540229884,0.2805668868080209
9136,0.29000000000000004,1,3,1.7196969696969697,0.28082549634273773,0.2834416918770055
9137,0.3,1,3,1.7160397074190177,0.28422152560083597,0.2840252925342854
9138,0.31,1,2,1.6927899686520376,0.3072100313479624,0.31521346841621833
9139,0.32,1,2,1.6818181818181819,0.3181818181818182,0.3133533215210125
9140,0.33,1,3,1.6920062695924765,0.30825496342737724,0.3046792578081142
9141,0.34,1,2,1.6549111807732497,0.3450888192267503,0.3431234815415879
9142,0.35000000000000003,1,2,1.6486415882967607,0.3513584117032393,0.34389590933295916
9143,0.36000000000000004,1,2,1.6494252873563218,0.3505747126436782,0.3477077170129485
9144,0.37,1,2,1.623301985370951,0.3766980146290491,0.3798570049594451
9145,0.38,1,2,1.6128526645768024,0.3871473354231975,0.38368814662799056
